SEÐLABANKI ÍSLANDS,,,,,,,,,,,,,,
Upplýsingatækni og gagnasöfnun,,,,,HAGTÖLUR SEÐLABANKANS,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Bankavextir og dráttarvextir (%),,,,,,,,,
,,,,,, í lok hvers mánaðar,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Innláns-vextir 1,,Óverðtryggð skuldabréfalán 1,,,Verðtryggð skuldabréfalán 1,,,Vextir birtir af SÍ skv. lögum nr. 38/2001,,,,
,,Almennir spari- reikningar 2,,Lægstu vextir,Hæstu vextir,,Lægstu vextir,Hæstu vextir,,Dráttarvextir pen.krafna í krónum 3,Almennir vextir óverðtryggðra lána 4,Almennir vextir verð-tryggðra lána 4,Vextir af skaðabóta-kröfum 5,
,,,,,,,,,,,,,,
,Apríl,0.80,,8.50,16.20,,4.80,12.00,,16.0,8.50,4.80,5.70,
,Maí,0.60,,8.25,15.70,,4.80,11.80,,16.0,8.50,4.80,5.70,
,Júní,0.60,,8.25,15.50,,4.80,11.50,,15.5,8.25,4.80,5.50,
,Júlí,0.40,,7.75,15.20,,4.80,11.30,,15.0,8.25,4.80,5.50,
,Ágúst,0.30,,7.75,14.70,,4.80,11.10,,15.0,7.75,4.80,5.20,
,September,0.30,,6.75,14.70,,4.80,11.10,,14.0,7.75,4.80,5.20,
,Október,0.20,,6.30,14.20,,4.80,11.00,,13.25,6.75,4.80,4.50,
,Nóvember,0.10,,5.75,14.10,,4.70,11.00,,13.25,6.30,4.80,4.20,
,Desember,0.10,,5.55,13.90,,4.70,11.00,,12.50,5.75,4.70,3.85,
,,,,,,,,,,,,,,
2011,Janúar,0.10,,5.50,13.70,,4.70,11.00,,11.50,5.55,4.70,3.70,
,Febrúar,0.10,,5.25,13.70,,4.70,11.00,,11.50,5.50,4.70,3.67,
,Mars,0.10,,5.25,13.70,,4.70,11.00,,11.25,5.25,4.70,3.50,
,Apríl,0.10,,5.25,13.70,,4.70,11.00,,11.25,5.25,4.70,3.50,
,Maí,0.10,,5.25,13.70,,4.30,11.00,,11.25,5.25,4.70,3.50,
,Júní,0.10,,5.25,13.70,,4.30,11.00,,11.25,5.25,4.30,3.50,
,Júlí,0.10,,5.25,13.70,,4.30,11.00,,11.25,5.25,4.30,3.50,
,Ágúst,0.20,,5.25,13.90,,4.30,11.20,,11.25,5.25,4.30,3.50,
