utgdag,kaupverd,fasteignamat,einflm,lod_flm,fmverd,yfirverd,count,sveitarfelag_Garðabær,sveitarfelag_Hafnarfjarðarkaupstaður,sveitarfelag_Kópavogsbær,sveitarfelag_Mosfellsbær,sveitarfelag_Reykjavíkurborg,tegund_Fjolbyli,tegund_Serbyli
2012-05-31,28270.5884057971,23461.014492753624,117.55188405797098,3253.9936231884067,248.48070476780833,0.24106411418449253,345,19.0,38.0,71.0,10.0,207.0,278.0,67.0
2012-06-30,29858.45029239766,23810.0,117.60146198830408,3159.826608187135,257.73499754332266,0.27638323311572716,342,31.0,44.0,48.0,6.0,213.0,281.0,61.0
2012-07-31,28673.453287197233,23087.923875432527,116.06920415224918,3396.600692041522,251.26774552932417,0.27280584217204806,289,21.0,27.0,47.0,5.0,189.0,241.0,48.0
2012-08-31,28239.427215189873,22936.898734177215,115.45348101265822,3402.324683544304,250.55792519189725,0.22801973973356285,316,18.0,33.0,48.0,9.0,208.0,263.0,53.0
2012-09-30,26794.17445482866,21647.72585669782,107.63582554517133,3293.286915887852,255.79860958427355,0.30953866256051565,321,19.0,47.0,43.0,8.0,204.0,277.0,44.0
2012-10-31,27843.308860759495,22805.493670886077,111.8524050632911,4033.3673417721516,254.69535759435487,0.24552542635157798,395,21.0,45.0,63.0,9.0,257.0,322.0,73.0
2012-11-30,28980.4375,23375.271739130436,116.5173913043479,3887.695380434782,257.89582514129125,0.3969432052990868,368,25.0,36.0,58.0,12.0,237.0,304.0,64.0
2012-12-31,28221.58785942492,23224.664536741213,111.40319488817889,3031.3019169329073,259.6502185332291,0.46956190428529215,313,15.0,32.0,51.0,7.0,208.0,271.0,42.0
2013-01-31,29060.611570247933,25243.49173553719,116.73057851239675,3730.7739669421494,260.9622235905256,0.30051014977801993,242,17.0,31.0,34.0,7.0,153.0,197.0,45.0
2013-02-28,29619.345762711866,26077.118644067796,116.8349152542373,3275.7644067796614,260.68062073200565,0.14381733177236874,295,12.0,34.0,47.0,12.0,190.0,242.0,53.0
2013-03-31,31951.743975903613,26879.307228915663,127.83012048192764,3227.115662650602,254.09422988130643,0.3278302481163366,332,20.0,40.0,66.0,10.0,196.0,268.0,64.0
2013-04-30,29872.484567901236,24669.382716049382,115.20864197530861,3364.2638888888887,265.75193036981307,0.4662798148474683,324,15.0,45.0,63.0,9.0,192.0,267.0,57.0
2013-05-31,30584.709923664122,25643.19338422392,118.93994910941463,3175.1488549618316,265.8693871558532,0.4677131639127693,393,21.0,47.0,75.0,11.0,239.0,327.0,66.0
2013-06-30,31296.751396648044,25327.751396648044,119.06927374301667,3305.3329608938548,269.8386356859089,0.5065460562940544,358,28.0,40.0,59.0,12.0,219.0,286.0,72.0
2013-07-31,29787.22894736842,25042.144736842107,115.62000000000008,3321.842894736841,266.367730129791,0.4331541830532134,380,28.0,35.0,64.0,14.0,239.0,305.0,75.0
2013-08-31,28726.027027027027,23215.554054054053,110.21270270270271,3472.7891891891886,268.34032936822484,0.4752443852224698,370,22.0,51.0,55.0,6.0,236.0,327.0,43.0
2013-09-30,30881.84109589041,24479.23287671233,116.45287671232877,3634.624657534246,276.1249482701635,0.5623503967902284,365,16.0,56.0,62.0,6.0,225.0,301.0,64.0
2013-10-31,30321.00501253133,24005.47619047619,111.95413533834586,3338.666917293232,280.64789328843017,0.555347092653833,399,32.0,39.0,77.0,8.0,243.0,342.0,57.0
2013-11-30,30244.388732394367,23692.394366197183,112.80140845070419,3404.585070422536,277.90742671022326,0.6444866366574125,355,25.0,44.0,69.0,8.0,209.0,308.0,47.0
2013-12-31,32539.359375,26431.466145833332,120.85156249999993,3518.0289062499996,276.45483394015366,0.4144368306510077,384,10.0,39.0,84.0,13.0,238.0,322.0,62.0
2014-01-31,32475.23140495868,25402.210743801654,112.3219008264463,3740.948760330579,295.385021240488,0.7293497623079046,242,12.0,29.0,47.0,3.0,151.0,206.0,36.0
2014-02-28,32250.977142857144,26529.82857142857,116.54171428571426,3387.7657142857156,285.7198455834437,0.29675244331968,350,21.0,45.0,57.0,11.0,216.0,297.0,53.0
2014-03-31,33285.91055045871,26137.316513761467,118.34724770642204,3167.6038990825678,291.9205214359837,0.6467704157546642,436,39.0,79.0,92.0,12.0,214.0,354.0,82.0
2014-04-30,32957.0975,25912.3625,117.88125000000004,3557.6865000000007,290.61041200610674,0.7653145932575365,400,31.0,73.0,84.0,16.0,196.0,336.0,64.0
2014-05-31,32581.006315789473,26279.41052631579,116.21178947368423,3424.9473684210525,292.8656232356658,0.39785435896882326,475,32.0,63.0,75.0,20.0,285.0,392.0,83.0
2014-06-30,33948.770053475935,26301.229946524065,120.98315508021389,3546.8098930481287,292.0037525374534,0.7576064883838016,374,17.0,57.0,82.0,8.0,210.0,299.0,75.0
2014-07-31,32935.48260869565,25817.17391304348,115.57978260869565,3141.4743478260875,298.68507305833145,0.479549530243166,460,26.0,58.0,73.0,15.0,288.0,380.0,80.0
2014-08-31,32606.05737704918,26115.830601092897,116.59508196721312,3681.22650273224,295.9933551672654,0.4290942971739108,366,27.0,46.0,77.0,16.0,200.0,306.0,60.0
2014-09-30,33368.12339331619,26052.982005141388,115.19897172236506,3409.6822622107975,301.00651535400976,0.500705323261292,389,28.0,53.0,79.0,18.0,211.0,327.0,62.0
2014-10-31,33617.10591133005,25935.09852216749,116.82364532019712,3591.1283251231525,301.4558470481677,0.5133177289256421,406,17.0,57.0,77.0,14.0,241.0,335.0,71.0
2014-11-30,33051.33863636364,23968.81818181818,112.89545454545471,3924.561136363636,309.64188453737734,1.2417224445778399,440,14.0,38.0,54.0,15.0,319.0,371.0,69.0
2014-12-31,35360.25344352617,26929.807162534435,116.29614325068844,3776.425895316804,315.1133703202585,0.6146755966839319,363,12.0,33.0,75.0,10.0,233.0,307.0,56.0
2015-01-31,35021.72440944882,28630.629921259842,117.91850393700781,3934.281102362205,311.179991153836,0.5698043324862615,254,27.0,32.0,36.0,6.0,153.0,218.0,36.0
2015-02-28,35381.671018276764,29090.443864229765,116.20026109660576,3780.425587467363,319.69092632966345,0.4876334934350511,383,38.0,46.0,76.0,7.0,216.0,317.0,66.0
2015-03-31,35923.04929577465,29355.061619718308,119.91954225352119,3685.763732394366,314.074707215754,0.5365198475816955,568,50.0,53.0,129.0,21.0,315.0,462.0,106.0
2015-04-30,35662.56279069767,29788.918604651164,120.1402325581395,3916.41534883721,312.1319732642365,0.36535272764604027,430,43.0,55.0,79.0,13.0,240.0,348.0,82.0
2015-05-31,35790.46771037182,29515.3228962818,118.13463796477497,3586.349119373778,320.8577797985718,0.4842500411266005,511,33.0,57.0,90.0,11.0,320.0,420.0,91.0
2015-06-30,36332.239852398525,29879.944649446494,120.56180811808112,3511.7405904059037,316.2842231028262,0.3963241621817858,542,33.0,81.0,83.0,15.0,330.0,436.0,106.0
2015-07-31,36058.186046511626,28949.903100775195,117.7063953488373,3721.791279069768,325.22381382434554,0.5275083296128391,516,32.0,82.0,86.0,23.0,293.0,419.0,97.0
2015-08-31,35430.35396039604,28849.40594059406,117.33316831683173,3441.6945544554474,324.0726337220393,0.3014092828426268,404,21.0,68.0,65.0,14.0,236.0,332.0,72.0
