date,kaupverd,fasteignamat,byggar,einflm,lod_flm,fullbuid,postnr_101.0,postnr_102.0,postnr_103.0,postnr_104.0,postnr_105.0,postnr_107.0,postnr_108.0,postnr_109.0,postnr_110.0,postnr_111.0,postnr_112.0,postnr_113.0,postnr_116.0,postnr_161.0,postnr_162.0,postnr_200.0,postnr_201.0,postnr_203.0,postnr_206.0,postnr_220.0,postnr_221.0,postnr_270.0,postnr_271.0,sveitarfelag_Hafnarfjarðarkaupstaður,sveitarfelag_Kópavogsbær,sveitarfelag_Mosfellsbær,sveitarfelag_Reykjavíkurborg,verd_m2,fjöldi_kaupsamninga,auglyst_serbyli,solutimi,Verðtryggð lán,erlend_lan,Óverðtryggð lán,overdtryggt,verdtryggt,visitala_rvk_%,verdbolga_%
2017-01-01,66430.95238095238,55887.5,1977.6904761904761,208.70357142857142,1228.2690476190478,1.0,0.07142857142857142,0.011904761904761904,0.0,0.03571428571428571,0.011904761904761904,0.03571428571428571,0.05952380952380952,0.05952380952380952,0.11904761904761904,0.047619047619047616,0.03571428571428571,0.011904761904761904,0.0,0.0,0.011904761904761904,0.16666666666666666,0.011904761904761904,0.047619047619047616,0.0,0.08333333333333333,0.13095238095238096,0.047619047619047616,0.0,0.21428571428571427,0.2261904761904762,0.047619047619047616,0.5119047619047619,332.6054062488931,640.36,0.2,1.27,58.62,0.13,12.3,6.55,3.65,1.8,-1.1968423733129565
2017-02-01,63160.71428571428,51864.28571428572,1982.0238095238096,198.55476190476188,1166.6190476190477,1.0,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.0,0.11904761904761904,0.07142857142857142,0.07142857142857142,0.0,0.21428571428571427,0.023809523809523808,0.0,0.0,0.0,0.14285714285714285,0.023809523809523808,0.023809523809523808,0.0,0.11904761904761904,0.07142857142857142,0.07142857142857142,0.0,0.19047619047619047,0.19047619047619047,0.07142857142857142,0.5476190476190477,329.33840106501253,494.95,0.19,1.71,58.61,0.12,12.4,6.5,3.65,2.5,0.5927835051546371
2017-03-01,65825.0,52050.2,1975.4,190.794,1045.212,1.0,0.08,0.04,0.0,0.04,0.0,0.0,0.06,0.06,0.04,0.0,0.12,0.02,0.0,0.0,0.0,0.1,0.04,0.04,0.0,0.16,0.1,0.1,0.0,0.26,0.18,0.1,0.46,361.83063951239734,703.88,0.16,1.15,58.04,0.11,12.81,6.35,3.65,2.7,-0.2818344862925981
2017-04-01,67943.96907216495,53946.701030927834,1979.3505154639174,206.59278350515464,1977.6701030927834,1.0,0.041237113402061855,0.010309278350515464,0.0,0.020618556701030927,0.0,0.0,0.1134020618556701,0.08247422680412371,0.041237113402061855,0.05154639175257732,0.09278350515463918,0.05154639175257732,0.0,0.0,0.010309278350515464,0.15463917525773196,0.061855670103092786,0.041237113402061855,0.0,0.10309278350515463,0.08247422680412371,0.041237113402061855,0.0,0.18556701030927836,0.25773195876288657,0.041237113402061855,0.5154639175257731,340.58677440959747,520.66,0.16,1.61,57.39,0.12,13.54,6.35,3.65,2.2,0.0
2017-05-01,67094.54545454546,51676.62337662338,1981.3896103896104,198.19480519480518,1226.5311688311688,1.0,0.0,0.012987012987012988,0.025974025974025976,0.05194805194805195,0.012987012987012988,0.0,0.06493506493506493,0.05194805194805195,0.025974025974025976,0.012987012987012988,0.12987012987012986,0.012987012987012988,0.025974025974025976,0.0,0.0,0.09090909090909091,0.07792207792207792,0.012987012987012988,0.0,0.12987012987012986,0.06493506493506493,0.19480519480519481,0.0,0.19480519480519481,0.18181818181818182,0.19480519480519481,0.42857142857142855,348.2732761982685,585.49,0.18,1.77,57.31444444444445,0.11777777777777777,13.572222222222221,6.35,3.65,1.8,-0.4110996916752207
2017-06-01,69439.28571428571,53650.892857142855,1982.857142857143,211.0375,1186.7107142857144,1.0,0.0,0.017857142857142856,0.017857142857142856,0.0,0.0,0.0,0.07142857142857142,0.125,0.0,0.08928571428571429,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.19642857142857142,0.07142857142857142,0.05357142857142857,0.0,0.125,0.07142857142857142,0.017857142857142856,0.0,0.19642857142857142,0.32142857142857145,0.017857142857142856,0.4642857142857143,336.51705485585074,545.21,0.22,2.19,57.23888888888889,0.11555555555555555,13.604444444444443,6.35,3.65,0.2,-0.4127966976264274
2017-07-01,75276.02739726027,56105.479452054795,1981.986301369863,220.73972602739727,1112.4671232876713,1.0,0.0136986301369863,0.0136986301369863,0.0,0.0410958904109589,0.0547945205479452,0.0136986301369863,0.0273972602739726,0.1232876712328767,0.0547945205479452,0.0136986301369863,0.0684931506849315,0.0136986301369863,0.0,0.0,0.0,0.136986301369863,0.0547945205479452,0.0547945205479452,0.0,0.0684931506849315,0.136986301369863,0.1095890410958904,0.0,0.2054794520547945,0.2465753424657534,0.1095890410958904,0.4383561643835616,354.2587783760741,504.39,0.23,2.55,57.163333333333334,0.11333333333333333,13.636666666666667,6.1,3.65,0.3,-0.5699481865284906
2017-08-01,69292.20779220779,51970.12987012987,1977.2337662337663,195.31948051948052,1501.5103896103897,1.0,0.05194805194805195,0.0,0.0,0.025974025974025976,0.0,0.03896103896103896,0.09090909090909091,0.11688311688311688,0.11688311688311688,0.025974025974025976,0.09090909090909091,0.03896103896103896,0.0,0.0,0.0,0.05194805194805195,0.03896103896103896,0.025974025974025976,0.0,0.09090909090909091,0.06493506493506493,0.11688311688311688,0.012987012987012988,0.15584415584415584,0.11688311688311688,0.12987012987012986,0.5974025974025974,368.00013598661764,540.84,0.25,2.49,57.08777777777778,0.1111111111111111,13.668888888888889,5.85,3.65,1.0,0.1823866597185919
2017-09-01,74268.75,54871.875,1983.015625,206.0828125,1281.6890625,1.0,0.03125,0.015625,0.03125,0.046875,0.015625,0.015625,0.0625,0.078125,0.046875,0.03125,0.078125,0.0625,0.0,0.0,0.0,0.09375,0.046875,0.03125,0.0,0.0625,0.109375,0.140625,0.0,0.171875,0.171875,0.140625,0.515625,369.4477955638098,488.06,0.27,3.04,57.01222222222222,0.1088888888888889,13.70111111111111,5.85,3.65,0.8,-0.2080624187256186
2017-10-01,71908.33333333333,52355.208333333336,1976.6458333333333,197.36041666666665,1469.5,1.0,0.041666666666666664,0.0,0.0,0.0625,0.0,0.020833333333333332,0.10416666666666667,0.10416666666666667,0.125,0.020833333333333332,0.20833333333333334,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.020833333333333332,0.0,0.10416666666666667,0.020833333333333332,0.041666666666666664,0.0,0.125,0.14583333333333334,0.041666666666666664,0.6875,374.2567352714143,575.71,0.28,2.65,56.93666666666667,0.10666666666666667,13.733333333333333,5.85,3.65,0.2,0.6254886630179923
