utgdag,kaupverd,fasteignamat,einflm,lod_flm,fmverd,yfirverd,count
2016-02-01,57476.76470588235,50832.94117647059,217.96617647058818,1338.726470588235,267.7769404078191,0.32492328294727785,68
2016-03-01,54881.07142857143,47578.80952380953,192.80238095238101,1312.247619047619,295.45310544176186,0.3017149177078898,84
2016-04-01,58043.846153846156,49540.92307692308,212.06,1258.6069230769226,283.55586890258894,0.34834495955091604,130
2016-05-01,58627.142857142855,50562.19047619047,209.31809523809537,1444.1133333333332,286.178152388397,0.2178489746471257,105
2016-06-01,59279.583333333336,50509.75,212.14833333333348,1141.263333333333,287.59276840265005,0.3236633430646634,120
2016-07-01,62782.857142857145,52601.90476190476,213.0409523809524,1525.8171428571427,302.35215806641287,0.43390453042522475,105
2016-08-01,58035.0,48312.49,201.88900000000004,1006.9809999999999,303.8203523120849,0.3058010571106838,100
2016-09-01,59176.4367816092,48164.137931034486,203.96781609195403,1363.0471264367818,301.8846089846462,0.4212525118413068,87
2016-10-01,58177.102803738315,47126.542056074766,191.72429906542058,1480.6906542056079,313.45612322664164,0.48514082243263623,107
2016-11-01,58548.87,46320.5,191.63100000000003,1177.42,321.7628578412608,0.41568020754067014,100
2016-12-01,66599.75247524753,53074.35643564357,217.26039603960396,1233.819801980198,311.6567738607632,0.3260514184920905,101
2017-01-01,66491.96428571429,53993.03571428572,206.95267857142855,1225.90625,331.9271219016778,0.515930141883257,112
2017-02-01,64575.0,50626.25,205.50178571428572,1106.5803571428573,318.31751267865417,0.5088822723289852,56
2017-03-01,62662.121212121216,47847.878787878784,190.95303030303032,1055.974242424243,350.80515646687013,0.6168639248126682,66
2017-04-01,67115.84677419355,52031.04838709677,208.67903225806447,1599.4193548387095,334.3470698275491,0.48751367944513485,124
2017-05-01,71031.36842105263,52685.68421052631,205.61999999999998,1169.8705263157894,353.46786027388515,0.5625980159067054,95
2017-06-01,68743.97590361445,51070.843373493975,208.2879518072289,1145.5518072289155,335.88558382596534,0.5716027541974312,83
2017-07-01,75694.14893617021,54999.68085106383,217.9521276595746,1080.3074468085103,357.9368948116368,0.5052360115452352,94
2017-08-01,71077.77777777778,53589.25925925926,201.99382716049382,1466.077777777778,363.84253529738726,0.3528126380370263,81
2017-09-01,73012.17948717948,52476.282051282054,201.01410256410256,1167.775641025641,373.7738750607366,0.5200016792484644,78
2017-10-01,74043.75,52266.71875,202.00937500000006,1307.8671875,374.3920173158455,0.5693572883407794,64
2017-11-01,73791.33333333333,53076.0,206.60266666666666,1277.276,367.14128926923155,0.5778298500931185,75
2017-12-01,70967.2463768116,50210.86956521739,189.51159420289852,1226.2507246376808,386.4152933145034,0.513286953357411,69
2018-01-01,70819.4,55848.333333333336,195.9355555555555,1328.0555555555554,372.80640381442004,0.5136015074439366,90
2018-02-01,74966.23376623377,61975.844155844155,204.04025974025976,1225.1220779220778,385.13410620345223,0.3227302914817962,77
2018-03-01,76072.83582089552,62165.37313432836,206.17611940298502,1579.6671641791045,375.855575217379,0.40582818386067826,67
