,date,fjöldi_kaupsamninga,auglyst_serbyli,auglyst_fjolbyli,solutimi,Verðtryggð lán,erlend_lan,Óverðtryggð lán,overdtryggt,verdtryggt,visitala_rvk_%,verdbolga_%,Reykjavík,Kópavogur,Garðabær,Hafnarfjörður,Mosfellsbær,"Eigendur, skuldlaust",Eigendur m. lán,"Leigjendur, alls"
83,2013-03-01,419.6,0.84,1.43,5.4,78.82,2.04,12.2,6.75,3.5,0.0,0.1531002806838488,0.4259001966334244,0.3954688567301121,0.3647790647136368,0.3732521295702793,0.3447081151947593,16.2,56.86666666666667,27.03333333333333
84,2013-04-01,441.39,0.84,1.48,5.25,77.76,1.18,12.98,6.75,3.5,0.7,-0.1273885350318471,0.4255975645804094,0.3954632611400525,0.3648949523184367,0.3725647058445268,0.3445293146945671,16.35,56.9,26.85
85,2013-05-01,456.79,0.84,1.5,5.13,77.78111111111112,1.15,13.014444444444445,6.75,3.5,1.3,-0.1785714285714279,0.4252949325273944,0.3954576655499928,0.3650108399232366,0.3718772821187742,0.3443505141943749,16.5,56.93333333333333,26.666666666666664
86,2013-06-01,428.56,0.84,1.45,5.34,77.80222222222223,1.1199999999999999,13.04888888888889,6.75,3.5,1.8,0.587784308714534,0.4249923004743794,0.3954520699599332,0.3651267275280366,0.3711898583930216,0.3441717136941827,16.65,56.96666666666667,26.48333333333333
87,2013-07-01,461.09,0.82,1.34,4.68,77.82333333333334,1.0899999999999999,13.083333333333334,6.75,3.5,0.7,-0.6097560975609873,0.4246896684213645,0.3954464743698736,0.3652426151328365,0.370502434667269,0.3439929131939906,16.8,57.0,26.3
88,2013-08-01,471.38,0.81,1.23,4.34,77.84444444444445,1.06,13.117777777777778,6.75,3.5,-0.1,0.3578732106339632,0.4243870363683495,0.395440878779814,0.3653585027376364,0.3698150109415165,0.3438141126937984,16.95,57.03333333333333,26.116666666666667
89,2013-09-01,427.12,0.85,1.11,4.59,77.86555555555556,1.03,13.152222222222221,6.75,3.5,0.9,0.4075394803871646,0.4240844043153346,0.3954352831897544,0.3654743903424364,0.3691275872157639,0.3436353121936062,17.1,57.06666666666667,25.933333333333334
90,2013-10-01,474.43,0.88,1.13,4.24,77.88666666666667,1.0,13.186666666666666,6.75,3.5,1.6,-0.1268391679350555,0.4237817722623196,0.3954296875996947,0.3655902779472363,0.3684401634900113,0.343456511693414,17.25,57.1,25.75
91,2013-11-01,416.17,0.91,1.21,5.1,77.90777777777778,0.97,13.22111111111111,6.75,3.5,0.3,0.2032004064008052,0.4234791402093046,0.3954240920096351,0.3657061655520362,0.3677527397642587,0.3432777111932218,17.4,57.13333333333333,25.566666666666663
92,2013-12-01,495.83,0.87,1.14,4.05,77.92888888888889,0.9400000000000001,13.255555555555555,6.75,3.5,-0.5,0.3295310519645156,0.4231765081562897,0.3954184964195755,0.3658220531568362,0.3670653160385062,0.3430989106930296,17.55,57.16666666666667,25.383333333333333
